id,price,qty,quote_qty,time,is_buyer_maker,amount,open,high,low,close,volume
904024770,0.8577,164.0,140.6628,2023-12-24 15:50:58,True,164.0,0.8622,0.8622,0.8622,0.8577,164.0
904033374,0.8566,1413.0,1210.3758,2023-12-24 16:05:31,False,1413.0,0.8577,0.8577,0.8577,0.8566,1413.0
904042157,0.8551,2399.0,2051.3849,2023-12-24 16:19:47,False,2399.0,0.8566,0.8566,0.8566,0.8551,2399.0
904049140,0.8565,315.0,269.7975,2023-12-24 16:30:39,False,315.0,0.8551,0.8551,0.8551,0.8565,315.0
904057564,0.8566,13889.0,11897.3174,2023-12-24 16:48:20,False,13889.0,0.8565,0.8565,0.8565,0.8566,13889.0
904065333,0.8504,8816.0,7497.1264,2023-12-24 17:00:53,True,8816.0,0.8566,0.8566,0.8566,0.8504,8816.0
904072628,0.8532,1054.0,899.2728,2023-12-24 17:10:03,True,1054.0,0.8504,0.8504,0.8504,0.8532,1054.0
904081289,0.8583,2291.0,1966.3653,2023-12-24 17:25:31,True,2291.0,0.8532,0.8532,0.8532,0.8583,2291.0
904087648,0.8636,3469.0,2995.8284,2023-12-24 17:30:14,False,3469.0,0.8583,0.8583,0.8583,0.8636,3469.0
904095663,0.8629,963.0,830.9727,2023-12-24 17:31:27,True,963.0,0.8636,0.8636,0.8636,0.8629,963.0
904103136,0.8665,2615.0,2265.8975,2023-12-24 17:36:41,False,2615.0,0.8629,0.8629,0.8629,0.8665,2615.0
904108370,0.8688,2325.0,2019.96,2023-12-24 17:39:28,False,2325.0,0.8665,0.8665,0.8665,0.8688,2325.0
904115062,0.8693,554.0,481.5922,2023-12-24 17:45:10,False,554.0,0.8688,0.8688,0.8688,0.8693,554.0
904124276,0.8709,1941.0,1690.4169,2023-12-24 17:55:08,False,1941.0,0.8693,0.8693,0.8693,0.8709,1941.0
904133268,0.876,1520.0,1331.52,2023-12-24 17:59:39,False,1520.0,0.8709,0.8709,0.8709,0.876,1520.0
904142710,0.8719,36.0,31.3884,2023-12-24 18:06:05,True,36.0,0.876,0.876,0.876,0.8719,36.0
904151443,0.8776,3955.0,3470.908,2023-12-24 18:17:49,True,3955.0,0.8719,0.8719,0.8719,0.8776,3955.0
904159742,0.8707,793.0,690.4651,2023-12-24 18:31:11,True,793.0,0.8776,0.8776,0.8776,0.8707,793.0
904169087,0.868,842.0,730.856,2023-12-24 18:46:02,True,842.0,0.8707,0.8707,0.8707,0.868,842.0
904178719,0.876,1400.0,1226.4,2023-12-24 19:00:32,False,1400.0,0.868,0.868,0.868,0.876,1400.0
904187520,0.8805,178.0,156.729,2023-12-24 19:08:55,False,178.0,0.876,0.876,0.876,0.8805,178.0
904195370,0.8784,478.0,419.8752,2023-12-24 19:20:18,True,478.0,0.8805,0.8805,0.8805,0.8784,478.0
904204219,0.8776,4704.0,4128.2304,2023-12-24 19:36:13,True,4704.0,0.8784,0.8784,0.8784,0.8776,4704.0
904213697,0.8808,1913.0,1684.9704,2023-12-24 19:47:58,True,1913.0,0.8776,0.8776,0.8776,0.8808,1913.0
904224012,0.8822,264.0,232.9008,2023-12-24 20:05:46,True,264.0,0.8808,0.8808,0.8808,0.8822,264.0
904230853,0.8817,3688.0,3251.7096,2023-12-24 20:19:01,True,3688.0,0.8822,0.8822,0.8822,0.8817,3688.0
904237737,0.8812,241.0,212.3692,2023-12-24 20:27:24,True,241.0,0.8817,0.8817,0.8817,0.8812,241.0
904244620,0.8755,1678.0,1469.089,2023-12-24 20:37:07,True,1678.0,0.8812,0.8812,0.8812,0.8755,1678.0
904251383,0.875,8446.0,7390.25,2023-12-24 20:42:23,False,8446.0,0.8755,0.8755,0.8755,0.875,8446.0
904260010,0.8706,459.0,399.6054,2023-12-24 20:47:43,False,459.0,0.875,0.875,0.875,0.8706,459.0
904268922,0.869,11547.0,10034.343,2023-12-24 20:56:07,False,11547.0,0.8706,0.8706,0.8706,0.869,11547.0
904279172,0.8737,3940.0,3442.378,2023-12-24 21:13:43,False,3940.0,0.869,0.869,0.869,0.8737,3940.0
904286429,0.8721,8565.0,7469.5365,2023-12-24 21:27:46,False,8565.0,0.8737,0.8737,0.8737,0.8721,8565.0
904295050,0.8669,4649.0,4030.2181,2023-12-24 21:42:03,True,4649.0,0.8721,0.8721,0.8721,0.8669,4649.0
904303408,0.8631,2192.0,1891.9152,2023-12-24 21:49:09,True,2192.0,0.8669,0.8669,0.8669,0.8631,2192.0
904313445,0.8643,1719.0,1485.7317,2023-12-24 22:05:19,True,1719.0,0.8631,0.8631,0.8631,0.8643,1719.0
904323014,0.8556,729.0,623.7324,2023-12-24 22:14:44,True,729.0,0.8643,0.8643,0.8643,0.8556,729.0
904331477,0.8521,8796.0,7495.0716,2023-12-24 22:15:17,True,8796.0,0.8556,0.8556,0.8556,0.8521,8796.0
904338592,0.8479,1991.0,1688.1689,2023-12-24 22:16:04,False,1991.0,0.8521,0.8521,0.8521,0.8479,1991.0
904346485,0.8435,1986.0,1675.191,2023-12-24 22:16:39,False,1986.0,0.8479,0.8479,0.8479,0.8435,1986.0
904355069,0.8403,914.0,768.0342,2023-12-24 22:17:13,True,914.0,0.8435,0.8435,0.8435,0.8403,914.0
904363198,0.8428,108064.0,91076.3392,2023-12-24 22:18:42,False,108064.0,0.8403,0.8403,0.8403,0.8428,108064.0
904369416,0.8409,647.0,544.0623,2023-12-24 22:20:58,True,647.0,0.8428,0.8428,0.8428,0.8409,647.0
904378780,0.8474,151.0,127.9574,2023-12-24 22:25:29,True,151.0,0.8409,0.8409,0.8409,0.8474,151.0
904388037,0.8503,1421.0,1208.2763,2023-12-24 22:31:56,True,1421.0,0.8474,0.8474,0.8474,0.8503,1421.0
904398370,0.8426,749.0,631.1074,2023-12-24 22:40:29,False,749.0,0.8503,0.8503,0.8503,0.8426,749.0
904407742,0.8403,315.0,264.6945,2023-12-24 22:51:17,True,315.0,0.8426,0.8426,0.8426,0.8403,315.0
904417585,0.8491,1765.0,1498.6615,2023-12-24 23:01:02,True,1765.0,0.8403,0.8403,0.8403,0.8491,1765.0
904426989,0.8513,1960.0,1668.548,2023-12-24 23:11:37,False,1960.0,0.8491,0.8491,0.8491,0.8513,1960.0
904436818,0.8553,2220.0,1898.766,2023-12-24 23:29:06,True,2220.0,0.8513,0.8513,0.8513,0.8553,2220.0
904446342,0.8506,3148.0,2677.6888,2023-12-24 23:52:38,True,3148.0,0.8553,0.8553,0.8553,0.8506,3148.0
904456736,0.8527,1903.0,1622.6881,2023-12-25 00:07:50,False,1903.0,0.8506,0.8506,0.8506,0.8527,1903.0
904467327,0.843,1187.0,1000.641,2023-12-25 00:22:47,False,1187.0,0.8527,0.8527,0.8527,0.843,1187.0
904476936,0.8422,5188.0,4369.3336,2023-12-25 00:33:03,False,5188.0,0.843,0.843,0.843,0.8422,5188.0
904486401,0.8381,1279.0,1071.9299,2023-12-25 00:42:22,False,1279.0,0.8422,0.8422,0.8422,0.8381,1279.0
904496869,0.8423,315.0,265.3245,2023-12-25 00:52:35,True,315.0,0.8381,0.8381,0.8381,0.8423,315.0
904508822,0.851,2373.0,2019.423,2023-12-25 01:13:40,True,2373.0,0.8423,0.8423,0.8423,0.851,2373.0
904518581,0.8492,1291.0,1096.3172,2023-12-25 01:33:00,True,1291.0,0.851,0.851,0.851,0.8492,1291.0
904528479,0.8509,735.0,625.4115,2023-12-25 02:01:50,True,735.0,0.8492,0.8492,0.8492,0.8509,735.0
904541002,0.8433,4631.0,3905.3223,2023-12-25 02:34:19,False,4631.0,0.8509,0.8509,0.8509,0.8433,4631.0
904553050,0.8491,40.0,33.964,2023-12-25 03:08:00,False,40.0,0.8433,0.8433,0.8433,0.8491,40.0
904564796,0.8519,585.0,498.3615,2023-12-25 03:48:12,False,585.0,0.8491,0.8491,0.8491,0.8519,585.0
904576517,0.853,2237.0,1908.161,2023-12-25 04:24:50,False,2237.0,0.8519,0.8519,0.8519,0.853,2237.0
904586261,0.8579,3046.0,2613.1634,2023-12-25 04:47:00,False,3046.0,0.853,0.853,0.853,0.8579,3046.0
904596425,0.8601,905.0,778.3905,2023-12-25 05:13:47,True,905.0,0.8579,0.8579,0.8579,0.8601,905.0
904605028,0.864,558.0,482.112,2023-12-25 05:31:01,False,558.0,0.8601,0.8601,0.8601,0.864,558.0
904614320,0.8694,1129.0,981.5526,2023-12-25 05:48:36,False,1129.0,0.864,0.864,0.864,0.8694,1129.0
904621515,0.8758,2005.0,1755.979,2023-12-25 05:51:00,True,2005.0,0.8694,0.8694,0.8694,0.8758,2005.0
904630104,0.8721,5378.0,4690.1538,2023-12-25 05:58:59,True,5378.0,0.8758,0.8758,0.8758,0.8721,5378.0
904640190,0.8692,4556.0,3960.0752,2023-12-25 06:14:02,True,4556.0,0.8721,0.8721,0.8721,0.8692,4556.0
904649609,0.8676,1277.0,1107.9252,2023-12-25 06:36:52,True,1277.0,0.8692,0.8692,0.8692,0.8676,1277.0
904660380,0.865,128056.0,110768.44,2023-12-25 07:05:03,True,128056.0,0.8676,0.8676,0.8676,0.865,128056.0
904670544,0.8623,2012.0,1734.9476,2023-12-25 07:27:59,False,2012.0,0.865,0.865,0.865,0.8623,2012.0
904679662,0.8607,315.0,271.1205,2023-12-25 07:53:47,True,315.0,0.8623,0.8623,0.8623,0.8607,315.0
904689562,0.8668,4155.0,3601.554,2023-12-25 08:17:16,False,4155.0,0.8607,0.8607,0.8607,0.8668,4155.0
904699821,0.8631,4975.0,4293.9225,2023-12-25 08:45:04,True,4975.0,0.8668,0.8668,0.8668,0.8631,4975.0
904708873,0.8567,2634.0,2256.5478,2023-12-25 08:57:01,False,2634.0,0.8631,0.8631,0.8631,0.8567,2634.0
904717217,0.8593,883.0,758.7619,2023-12-25 09:10:35,True,883.0,0.8567,0.8567,0.8567,0.8593,883.0
904726938,0.8554,513.0,438.8202,2023-12-25 09:36:31,True,513.0,0.8593,0.8593,0.8593,0.8554,513.0
904735996,0.8582,371.0,318.3922,2023-12-25 09:48:45,True,371.0,0.8554,0.8554,0.8554,0.8582,371.0
904746572,0.856,2000.0,1712.0,2023-12-25 10:18:42,True,2000.0,0.8582,0.8582,0.8582,0.856,2000.0
904755730,0.8588,441.0,378.7308,2023-12-25 10:50:40,False,441.0,0.856,0.856,0.856,0.8588,441.0
904766808,0.8579,1544.0,1324.5976,2023-12-25 11:24:21,False,1544.0,0.8588,0.8588,0.8588,0.8579,1544.0
904776241,0.8601,8501.0,7311.7101,2023-12-25 11:42:51,False,8501.0,0.8579,0.8579,0.8579,0.8601,8501.0
904785997,0.8573,1479.0,1267.9467,2023-12-25 12:04:54,False,1479.0,0.8601,0.8601,0.8601,0.8573,1479.0
904796001,0.8591,894.0,768.0354,2023-12-25 12:32:04,True,894.0,0.8573,0.8573,0.8573,0.8591,894.0
904803624,0.866,10093.0,8740.538,2023-12-25 12:45:05,True,10093.0,0.8591,0.8591,0.8591,0.866,10093.0
904811016,0.871,5736.0,4996.056,2023-12-25 12:52:09,True,5736.0,0.866,0.866,0.866,0.871,5736.0
904820907,0.8731,5416.0,4728.7096,2023-12-25 13:01:09,False,5416.0,0.871,0.871,0.871,0.8731,5416.0
904828920,0.8745,1095.0,957.5775,2023-12-25 13:05:19,False,1095.0,0.8731,0.8731,0.8731,0.8745,1095.0
904837059,0.8732,21559.0,18825.3188,2023-12-25 13:14:15,True,21559.0,0.8745,0.8745,0.8745,0.8732,21559.0
904845004,0.8721,3632.0,3167.4672,2023-12-25 13:23:46,False,3632.0,0.8732,0.8732,0.8732,0.8721,3632.0
904853798,0.8708,8343.0,7265.0844,2023-12-25 13:36:57,True,8343.0,0.8721,0.8721,0.8721,0.8708,8343.0
904862715,0.8789,33527.0,29466.8803,2023-12-25 13:53:05,False,33527.0,0.8708,0.8708,0.8708,0.8789,33527.0
904870593,0.8763,2000.0,1752.6,2023-12-25 14:01:07,True,2000.0,0.8789,0.8789,0.8789,0.8763,2000.0
904878801,0.8771,160.0,140.336,2023-12-25 14:11:26,False,160.0,0.8763,0.8763,0.8763,0.8771,160.0
904887945,0.8795,891.0,783.6345,2023-12-25 14:24:49,False,891.0,0.8771,0.8771,0.8771,0.8795,891.0
904897098,0.8833,340.0,300.322,2023-12-25 14:34:56,False,340.0,0.8795,0.8795,0.8795,0.8833,340.0
904906156,0.8893,4132.0,3674.5876,2023-12-25 14:36:24,True,4132.0,0.8833,0.8833,0.8833,0.8893,4132.0
904916146,0.8939,1109.0,991.3351,2023-12-25 14:39:09,True,1109.0,0.8893,0.8893,0.8893,0.8939,1109.0
904924004,0.8902,2140.0,1905.028,2023-12-25 14:41:25,True,2140.0,0.8939,0.8939,0.8939,0.8902,2140.0
904932191,0.8918,949.0,846.3182,2023-12-25 14:45:53,True,949.0,0.8902,0.8902,0.8902,0.8918,949.0
904939951,0.8884,2667.0,2369.3628,2023-12-25 14:52:24,True,2667.0,0.8918,0.8918,0.8918,0.8884,2667.0
904948830,0.8862,6076.0,5384.5512,2023-12-25 15:03:46,True,6076.0,0.8884,0.8884,0.8884,0.8862,6076.0
